ContentDatabase,SetupFileDirName,SetupFileExtension,SetupFileId,SetupFileName,SetupFilePath,SiteCollection,UpgradeStatus,WebApplication,WebUrl
Portal_Content_01,https://intranet.poc.com/sites/Publishing/_catalogs/masterpage,aspx,0b973b40-d13a-4912-8968-65c626087517,AvivaFlexibleArticle.aspx,Features\Aviva.OneIntranet.PageLayouts\Layouts\AvivaFlexibleArticle.aspx,https://intranet.poc.com/sites/Publishing,False,https://intranet.poc.com/,https://intranet.poc.com/sites/Publishing
Portal_Content_01,https://intranet.poc.com/sites/Publishing/_catalogs/masterpage,aspx,c58469ec-063c-4b11-9148-6daf82b5e101,ArticlePageFull.aspx,Features\Aviva.OneIntranet.PageLayouts\Layouts\ArticlePageFull.aspx,https://intranet.poc.com/sites/Publishing,False,https://intranet.poc.com/,https://intranet.poc.com/sites/Publishing
Portal_Content_01,https://intranet.poc.com/sites/Publishing/_catalogs/masterpage,aspx,54917d3d-4be1-4aab-8463-9ee5a9e7d524,HRCareerArticle.aspx,Features\Aviva.OneIntranet.PageLayouts\Layouts\HRCareerArticle.aspx,https://intranet.poc.com/sites/Publishing,False,https://intranet.poc.com/,https://intranet.poc.com/sites/Publishing
Portal_Content_01,https://intranet.poc.com/sites/Test2/_catalogs/masterpage,master,2949b9dc-8b99-47ae-854a-c9e13f57103c,Aviva-v4.master,Features\Aviva.OneIntranet.Provisioning\Aviva-v4.master,https://intranet.poc.com/sites/Test2,False,https://intranet.poc.com/,https://intranet.poc.com/sites/Test2
Portal_Content_01,https://intranet.poc.com/sites/VK113055/_catalogs/masterpage,aspx,4c6c8914-4bc6-4cd7-bfda-22801a3bbf1b,NewsArticlePageFull.aspx,Features\Aviva.OneIntranet.PageLayouts\Layouts\NewsArticlePageFull.aspx,https://intranet.poc.com/sites/VK113055,False,https://intranet.poc.com/,https://intranet.poc.com/sites/VK113055
Portal_Content_01,https://intranet.poc.com/sites/TestSearch/_catalogs/masterpage,master,12cd9014-ac4c-425c-821b-1f8ff2094485,Aviva-v4.master,Features\Aviva.OneIntranet.Provisioning\Aviva-v4.master,https://intranet.poc.com/sites/TestSearch,False,https://intranet.poc.com/,https://intranet.poc.com/sites/TestSearch
Portal_Content_01,https://intranet.poc.com/sites/DiscoveryTool/_catalogs/wp,webpart,d9e02c30-adf8-4a00-a234-bd05cad1b113,Aviva.OneIntranet.RemoteContentQuery.webpart,Features\Aviva.OneIntranet.RemoteContentQueryWebPart\Aviva.OneIntranet.RemoteContentQuery.webpart,https://intranet.poc.com/sites/DiscoveryTool,False,https://intranet.poc.com/,https://intranet.poc.com/sites/DiscoveryTool
Portal_Content_01,https://intranet.poc.com/sites/DiscoveryTool/_catalogs/wp,dwp,90a02316-686d-4176-b9fe-c774bc3b948c,Aviva.OneIntranet.RegionQuickSelectWebPart.dwp,Features\Aviva.OneIntranet.RegionQuickSelectWebPart\Aviva.OneIntranet.RegionQuickSelectWebPart.dwp,https://intranet.poc.com/sites/DiscoveryTool,False,https://intranet.poc.com/,https://intranet.poc.com/sites/DiscoveryTool
Portal_Content_01,https://intranet.poc.com/sites/ListFormDemos/_catalogs/masterpage,master,c2b43a04-1244-4129-a2e9-8912475d5e81,Aviva-v4.master,Features\Aviva.OneIntranet.Provisioning\Aviva-v4.master,https://intranet.poc.com/sites/ListFormDemos,False,https://intranet.poc.com/,https://intranet.poc.com/sites/ListFormDemos
Portal_Content_01,https://intranet.poc.com/sites/testv/_catalogs/masterpage,aspx,bed5e881-795d-4271-895f-2fca60f87b42,NewsArticlePageSimple.aspx,Features\Aviva.OneIntranet.PageLayouts\Layouts\NewsArticlePageSimple.aspx,https://intranet.poc.com/sites/testv,False,https://intranet.poc.com/,https://intranet.poc.com/sites/testv
Portal_Content_01,https://intranet.poc.com/sites/testv/_catalogs/masterpage,aspx,969c692d-bcb6-4ad4-b558-3f1d057ae43c,LeadershipMessagesPage.aspx,Features\Aviva.OneIntranet.PageLayouts\Layouts\LeadershipMessagesPage.aspx,https://intranet.poc.com/sites/testv,False,https://intranet.poc.com/,https://intranet.poc.com/sites/testv
Portal_Content_01,https://intranet.poc.com/sites/testv/_catalogs/masterpage,master,c6050989-e71b-4584-a25a-751e0776bd1d,Aviva-v4.master,Features\Aviva.OneIntranet.Provisioning\Aviva-v4.master,https://intranet.poc.com/sites/testv,False,https://intranet.poc.com/,https://intranet.poc.com/sites/testv
Portal_Content_01,https://intranet.poc.com/sites/dev2/_catalogs/masterpage,master,bcf446f1-f121-4916-a4e6-cf19b966b1fe,Aviva-v4.master,Features\Aviva.OneIntranet.Provisioning\Aviva-v4.master,https://intranet.poc.com/sites/dev2,False,https://intranet.poc.com/,https://intranet.poc.com/sites/dev2
Portal_Content_01,https://intranet.poc.com/sites/TMaster2publishing/_catalogs/masterpage,aspx,2402ab61-1861-4116-8e70-296b87e39f6d,LeadershipProfilePage.aspx,Features\Aviva.OneIntranet.PageLayouts\Layouts\LeadershipProfilePage.aspx,https://intranet.poc.com/sites/TMaster2publishing,False,https://intranet.poc.com/,https://intranet.poc.com/sites/TMaster2publishing
Portal_Content_01,https://intranet.poc.com/sites/TMaster2publishing/_catalogs/masterpage,aspx,51d69423-5766-4b1f-8dcc-6dfc929436c6,LeadershipMessagesPage.aspx,Features\Aviva.OneIntranet.PageLayouts\Layouts\LeadershipMessagesPage.aspx,https://intranet.poc.com/sites/TMaster2publishing,False,https://intranet.poc.com/,https://intranet.poc.com/sites/TMaster2publishing
Portal_Content_01,https://intranet.poc.com/sites/TMaster2publishing/_catalogs/masterpage,aspx,0abbbab2-950c-41e3-83e0-8009159382cf,NewsArticlePageFull.aspx,Features\Aviva.OneIntranet.PageLayouts\Layouts\NewsArticlePageFull.aspx,https://intranet.poc.com/sites/TMaster2publishing,False,https://intranet.poc.com/,https://intranet.poc.com/sites/TMaster2publishing
Portal_Content_01,https://intranet.poc.com/sites/TMaster2publishing/_catalogs/masterpage,master,891c83ed-8256-4400-8562-fcdbebdc50f6,Aviva-v4.master,Features\Aviva.OneIntranet.Provisioning\Aviva-v4.master,https://intranet.poc.com/sites/TMaster2publishing,False,https://intranet.poc.com/,https://intranet.poc.com/sites/TMaster2publishing
Portal_Content_01,https://intranet.poc.com/sites/Publishing/_catalogs/masterpage,aspx,7505acd0-f2ae-4ad9-a1f6-09c023dc8251,LeadershipProfilePage.aspx,Features\Aviva.OneIntranet.PageLayouts\Layouts\LeadershipProfilePage.aspx,https://intranet.poc.com/sites/Publishing,False,https://intranet.poc.com/,https://intranet.poc.com/sites/Publishing
Portal_Content_01,https://intranet.poc.com/sites/Publishing/_catalogs/masterpage,aspx,b1c38547-fd19-4d0a-8d8c-2a155ffc4513,NewsArticlePageFull.aspx,Features\Aviva.OneIntranet.PageLayouts\Layouts\NewsArticlePageFull.aspx,https://intranet.poc.com/sites/Publishing,False,https://intranet.poc.com/,https://intranet.poc.com/sites/Publishing
Portal_Content_01,https://intranet.poc.com/sites/Publishing/_catalogs/masterpage,aspx,f67e624a-4df8-4390-bb09-33ea08cfccaa,NewsArticlePageSimple.aspx,Features\Aviva.OneIntranet.PageLayouts\Layouts\NewsArticlePageSimple.aspx,https://intranet.poc.com/sites/Publishing,False,https://intranet.poc.com/,https://intranet.poc.com/sites/Publishing
Portal_Content_01,https://intranet.poc.com/sites/Publishing/_catalogs/masterpage,aspx,6f4e1b81-aefe-4c5d-92ff-6f08a53b06f9,LeadershipMessagesPage.aspx,Features\Aviva.OneIntranet.PageLayouts\Layouts\LeadershipMessagesPage.aspx,https://intranet.poc.com/sites/Publishing,False,https://intranet.poc.com/,https://intranet.poc.com/sites/Publishing
Portal_Content_01,https://intranet.poc.com/sites/TestContosoTeamSite/_catalogs/masterpage,master,3af33385-2d10-40dd-9c90-0c0dd891b766,Aviva-v4.master,Features\Aviva.OneIntranet.Provisioning\Aviva-v4.master,https://intranet.poc.com/sites/TestContosoTeamSite,False,https://intranet.poc.com/,https://intranet.poc.com/sites/TestContosoTeamSite
Portal_Content_01,https://intranet.poc.com/sites/ListTask/_catalogs/masterpage,master,d7ab0df7-148b-4156-baf7-dc19046a5936,Aviva-v4.master,Features\Aviva.OneIntranet.Provisioning\Aviva-v4.master,https://intranet.poc.com/sites/ListTask,False,https://intranet.poc.com/,https://intranet.poc.com/sites/ListTask
Portal_Content_01,https://intranet.poc.com/sites/TestContosoPublishingSite/_catalogs/masterpage,master,c2e64cb8-04bf-4cfe-8782-9f7e39a2e89d,Aviva-v4.master,Features\Aviva.OneIntranet.Provisioning\Aviva-v4.master,https://intranet.poc.com/sites/TestContosoPublishingSite,False,https://intranet.poc.com/,https://intranet.poc.com/sites/TestContosoPublishingSite
Portal_Content_01,https://intranet.poc.com/sites/ListForm/_catalogs/masterpage,master,5c763898-ccec-467c-9090-af1b0cc8c326,Aviva-v4.master,Features\Aviva.OneIntranet.Provisioning\Aviva-v4.master,https://intranet.poc.com/sites/ListForm,False,https://intranet.poc.com/,https://intranet.poc.com/sites/ListForm
Portal_Content_01,https://intranet.poc.com/sites/Test1/_catalogs/masterpage,master,def44d11-d2b0-495c-84a4-fa9ee5a4c553,Aviva-v4.master,Features\Aviva.OneIntranet.Provisioning\Aviva-v4.master,https://intranet.poc.com/sites/Test1,False,https://intranet.poc.com/,https://intranet.poc.com/sites/Test1
Portal_Content_01,https://intranet.poc.com/sites/ListFormDemo/_catalogs/masterpage,master,12ca2ecc-6ebf-46f8-9d81-bc981b8c3dc1,Aviva-v4.master,Features\Aviva.OneIntranet.Provisioning\Aviva-v4.master,https://intranet.poc.com/sites/ListFormDemo,False,https://intranet.poc.com/,https://intranet.poc.com/sites/ListFormDemo
Portal_Content_01,https://intranet.poc.com/sites/AmasterpageTest/_catalogs/masterpage,master,4431dfed-071c-4cec-94e0-f6c6c2e078ac,Aviva-v4.master,Features\Aviva.OneIntranet.Provisioning\Aviva-v4.master,https://intranet.poc.com/sites/AmasterpageTest,False,https://intranet.poc.com/,https://intranet.poc.com/sites/AmasterpageTest
Portal_Content_01,https://intranet.poc.com/sites/Test2/_catalogs/wp,webpart,a0997064-8868-4f09-8198-bf75f1fd71cd,AvivaVideoWebPart.webpart,Features\Aviva.OneIntranet.VideoWebPart\WebParts\AvivaVideoWebPart.webpart,https://intranet.poc.com/sites/Test2,False,https://intranet.poc.com/,https://intranet.poc.com/sites/Test2
Portal_Content_01,https://intranet.poc.com/sites/VK113055/_catalogs/wp,webpart,9ff37447-0f89-4a8d-8c96-bc23b5d537b6,AvivaVideoWebPart.webpart,Features\Aviva.OneIntranet.VideoWebPart\WebParts\AvivaVideoWebPart.webpart,https://intranet.poc.com/sites/VK113055,False,https://intranet.poc.com/,https://intranet.poc.com/sites/VK113055
Portal_Content_01,https://intranet.poc.com/sites/ListFormDemos/_catalogs/wp,webpart,29599c61-3087-4b0d-9b3d-df879f0fb469,AvivaVideoWebPart.webpart,Features\Aviva.OneIntranet.VideoWebPart\WebParts\AvivaVideoWebPart.webpart,https://intranet.poc.com/sites/ListFormDemos,False,https://intranet.poc.com/,https://intranet.poc.com/sites/ListFormDemos
Portal_Content_01,https://intranet.poc.com/sites/TMaster2publishing/_catalogs/wp,webpart,beb1f062-4d4c-4c02-86c2-b883e7522aed,AvivaVideoWebPart.webpart,Features\Aviva.OneIntranet.VideoWebPart\WebParts\AvivaVideoWebPart.webpart,https://intranet.poc.com/sites/TMaster2publishing,False,https://intranet.poc.com/,https://intranet.poc.com/sites/TMaster2publishing
Portal_Content_01,https://intranet.poc.com/sites/ListTask/_catalogs/wp,webpart,eb320417-a86a-4000-8388-ccca5406f466,AvivaVideoWebPart.webpart,Features\Aviva.OneIntranet.VideoWebPart\WebParts\AvivaVideoWebPart.webpart,https://intranet.poc.com/sites/ListTask,False,https://intranet.poc.com/,https://intranet.poc.com/sites/ListTask
Portal_Content_01,https://intranet.poc.com/sites/ListForm/_catalogs/wp,webpart,2fb05ee3-0fdd-4f8d-8936-cbf947b8984c,AvivaVideoWebPart.webpart,Features\Aviva.OneIntranet.VideoWebPart\WebParts\AvivaVideoWebPart.webpart,https://intranet.poc.com/sites/ListForm,False,https://intranet.poc.com/,https://intranet.poc.com/sites/ListForm
Portal_Content_01,https://intranet.poc.com/sites/TestingUnghostingTool/_catalogs/wp,webpart,00d68427-403d-4558-97b4-1372bd47c05b,Contoso.Intranet_TeaserWebPart.webpart,Features\Contoso.IntranetUnghostingTools_SiteDefaultPublishing\TeaserWebPart\TeaserWebPart.webpart,https://intranet.poc.com/sites/TestingUnghostingTool,False,https://intranet.poc.com/,https://intranet.poc.com/sites/TestingUnghostingTool
Portal_Content_01,https://intranet.poc.com/sites/TestingUnghostingTool/Lists/ContosoLibrary/Forms,aspx,6ef86013-6980-4b5f-a406-60e52ec32e6a,Upload.aspx,Features\Contoso.IntranetUnghostingTools_WebDefaultPublishing\LTContosoLibrary\Upload.aspx,https://intranet.poc.com/sites/TestingUnghostingTool,False,https://intranet.poc.com/,https://intranet.poc.com/sites/TestingUnghostingTool
Portal_Content_01,https://intranet.poc.com/sites/TestingUnghostingTool/_catalogs/wp,webpart,a269e1da-0711-4397-9854-87a5b77dc364,Contoso.Intranet_WelcomeWebPart.webpart,Features\Contoso.IntranetUnghostingTools_SiteDefaultPublishing\WelcomeWebPart\WelcomeWebPart.webpart,https://intranet.poc.com/sites/TestingUnghostingTool,False,https://intranet.poc.com/,https://intranet.poc.com/sites/TestingUnghostingTool
Portal_Content_01,https://intranet.poc.com/sites/TestingUnghostingTool/_catalogs/masterpage,aspx,03bd1662-dd23-4455-b825-b4b9796040b8,ContosoWelcomeLinks.aspx,Features\Contoso.IntranetUnghostingTools_SiteDefaultPublishing\MOPageLayouts\ContosoWelcomeLinks.aspx,https://intranet.poc.com/sites/TestingUnghostingTool,False,https://intranet.poc.com/,https://intranet.poc.com/sites/TestingUnghostingTool
