ContentDatabase,DeleteTransactionId,Description,FeatureId,ListCreatedDate,ListId,ListTemplateName,ListTitle,ServerTemplate,SiteCollection,SolutionId,SolutionName,WebApplication,WebUrl
Portal_Content_01,0x,Contoso Library Instance,02464339-e494-4257-8018-403b5a4371d9,10/29/2014 6:34:57 PM,a3c57ffa-e181-4a32-bb14-fce0e48aa05e,Contoso Library,ContosoLibrary,10003,https://intranet.poc.com/sites/AnubhavPublishing,N/A,contoso.intranet.wsp,https://intranet.poc.com/,https://intranet.poc.com/sites/AnubhavPublishing
Portal_Content_01,0x,Contoso Library Instance,02464339-e494-4257-8018-403b5a4371d9,10/18/2014 12:22:58 AM,aa63021e-a752-4f45-bf27-3cb8f76521ae,Contoso Library,ContosoLibrary,10003,https://intranet.poc.com/sites/TestContosoPublishingSite,N/A,contoso.intranet.wsp,https://intranet.poc.com/,https://intranet.poc.com/sites/TestContosoPublishingSite
Portal_Content_01,0x,Contoso Library Instance,02464339-e494-4257-8018-403b5a4371d9,4/2/2015 6:20:14 AM,575dc104-8dc5-4d30-b65a-22f717b8e72a,Contoso Library,ContosoLibrary,10003,https://intranet.poc.com/sites/DemoContosoPublishing,N/A,contoso.intranet.wsp,https://intranet.poc.com/,https://intranet.poc.com/sites/DemoContosoPublishing
Portal_Content_01,0x,Contoso Library Instance,02464339-e494-4257-8018-403b5a4371d9,5/5/2015 12:32:45 AM,55e27aed-7f66-4d88-8fac-9cc456c11078,Contoso Library,ContosoLibrary,10003,https://intranet.poc.com/sites/TestingUnghostingTool,N/A,contoso.intranet.wsp,https://intranet.poc.com/,https://intranet.poc.com/sites/TestingUnghostingTool
Portal_Content_01,0x,Contoso Library Instance,02464339-e494-4257-8018-403b5a4371d9,10/21/2014 4:31:46 PM,8da8b501-2538-4cc9-a48c-e67ccecfed7d,Contoso Library,ContosoLibrary,10003,https://intranet.poc.com/sites/PocContosoTeamSite,N/A,contoso.intranet.wsp,https://intranet.poc.com/,https://intranet.poc.com/sites/PocContosoTeamSite
Portal_Content_01,0x,Contoso Library Instance,02464339-e494-4257-8018-403b5a4371d9,3/10/2015 7:42:47 PM,9f29bdc2-6d91-4c74-87a9-d58537951be0,Contoso Library,ContosoLibrary,10003,https://intranet.poc.com/sites/TestcontosopublishingsiteForTransformationUnghostTools,N/A,contoso.intranet.wsp,https://intranet.poc.com/,https://intranet.poc.com/sites/TestcontosopublishingsiteForTransformationUnghostTools
Portal_Content_01,0x,Contoso Library Instance,02464339-e494-4257-8018-403b5a4371d9,10/28/2014 11:49:50 PM,7632f2e6-7ca3-4070-af20-c6fb4146e23b,Contoso Library,ContosoLibrary,10003,https://intranet.poc.com/sites/GhostableContosoPublishingSite,N/A,contoso.intranet.wsp,https://intranet.poc.com/,https://intranet.poc.com/sites/GhostableContosoPublishingSite
Portal_Content_01,0x,Contoso Library Instance,02464339-e494-4257-8018-403b5a4371d9,3/20/2015 6:07:43 PM,9b047cd2-e47e-4284-a913-2116419d3a73,Contoso Library,ContosoLibrary,10003,https://intranet.poc.com/sites/SudhaContosoPublishingSite,N/A,contoso.intranet.wsp,https://intranet.poc.com/,https://intranet.poc.com/sites/SudhaContosoPublishingSite
Portal_Content_01,0x,My List Instance,d5d4746a-cf92-422e-8fa5-869f1b016d3e,6/3/2016 11:23:02 AM,c923c8f9-26a0-49e2-8249-09ac1d9c8477,List1,List1,10000,https://intranet.poc.com/sites/dd,N/A,sharepointproject2.wsp,https://intranet.poc.com/,https://intranet.poc.com/sites/dd
Portal_Content_02,0x,Contoso Library Instance,c2f9c992-99b0-4ee7-8e48-5d9949e77d3d,10/7/2014 6:23:28 PM,653bdc69-966b-4a0f-8e5a-fe67ee01b0a5,Contoso Library,ContosoLibrary,10003,https://intranet.poc.com/sites/TestContosoTeamSite_bckup2,N/A,contoso.intranet.wsp,https://intranet.poc.com/,https://intranet.poc.com/sites/TestContosoTeamSite_bckup2/TestChildContosoTeamSite
Portal_Content_02,0x,Custom Library Migration,c2f9c992-99b0-4ee7-8e48-5d9949e77d3d,10/7/2014 6:14:51 PM,9a9c1b84-39c7-45f7-96fc-85052204b965,Contoso Library,ContosoLibrary,10003,https://intranet.poc.com/sites/TestContosoTeamSite_bckup2,N/A,contoso.intranet.wsp,https://intranet.poc.com/,https://intranet.poc.com/sites/TestContosoTeamSite_bckup2
Portal_Content_02,0x,Contoso Library Instance,c2f9c992-99b0-4ee7-8e48-5d9949e77d3d,6/9/2015 7:11:22 AM,8fcd3431-bbe8-44d2-bf8c-40e4470377ee,Contoso Library,ContosoLibrary,10003,https://intranet.poc.com/sites/TestContosoTeamSite_bckup2,N/A,contoso.intranet.wsp,https://intranet.poc.com/,https://intranet.poc.com/sites/TestContosoTeamSite_bckup2/TestChildPubSIte
Portal_Content_02,0x,My List Instance,825bf18e-0efe-4b70-946b-a06bcef1dff3,5/27/2016 5:03:58 AM,0da067b5-42ce-42ce-b6a9-00904e1ff0e5,Multiple Policies Test List,Multiple Policies Test List,10001,https://intranet.poc.com/sites/DcCenterSC1,N/A,createcustompolicies.wsp,https://intranet.poc.com/,https://intranet.poc.com/sites/DcCenterSC1
Portal_Content_02,0x,My List Instance,825bf18e-0efe-4b70-946b-a06bcef1dff3,5/27/2016 5:04:00 AM,35a752f7-7a03-44a1-ae2e-2574b6225e3a,Multiple Policies Test List,Declarative Policy Test List,10000,https://intranet.poc.com/sites/DcCenterSC1,N/A,createcustompolicies.wsp,https://intranet.poc.com/,https://intranet.poc.com/sites/DcCenterSC1
Portal_Content_02,0x,My List Instance,825bf18e-0efe-4b70-946b-a06bcef1dff3,5/27/2016 5:03:58 AM,0be219cb-7568-465b-a060-ebf890588cb3,Multiple Policies Test List,Auditing Policy Test List,10000,https://intranet.poc.com/sites/DcCenterSC1,N/A,createcustompolicies.wsp,https://intranet.poc.com/,https://intranet.poc.com/sites/DcCenterSC1
Portal_Content_02,0x,My List Instance,825bf18e-0efe-4b70-946b-a06bcef1dff3,5/27/2016 5:03:59 AM,d39f7837-c861-4e95-875e-f64827b0eb90,Multiple Policies Test List,Scheduled Policy Test List,10002,https://intranet.poc.com/sites/DcCenterSC1,N/A,createcustompolicies.wsp,https://intranet.poc.com/,https://intranet.poc.com/sites/DcCenterSC1
