ContentDatabase,DeleteTransactionId,SiteCollection,SiteTemplateGalleryPath,SiteTemplateID,SiteTemplateName,WebApplication,WebUrl
Portal_Content_02,0x,https://intranet.poc.com/sites/PriyaTestSiteTemplate,sites/PriyaTestSiteTemplate/_catalogs/solutions,1686a549-41d9-42b9-bf37-b7ae3a7266ad,STOne.wsp,https://intranet.poc.com/,https://intranet.poc.com/sites/PriyaTestSiteTemplate
Portal_Content_02,0x,https://intranet.poc.com/sites/PriyaTestSiteTemplate,sites/PriyaTestSiteTemplate/_catalogs/solutions,f757cb61-f7ec-453b-af40-6ffabf969dc5,STOneTest.wsp,https://intranet.poc.com/,https://intranet.poc.com/sites/PriyaTestSiteTemplate
Portal_Content_02,0x,https://intranet.poc.com/sites/ertest,sites/ertest/_catalogs/solutions,130102ea-13b6-4190-bef1-67a11af2eccb,Project Template 6.81.wsp,https://intranet.poc.com/,https://intranet.poc.com/sites/ertest
Portal_Content_02,0x,https://intranet.poc.com/sites/ertest,sites/ertest/_catalogs/solutions,c1a11766-69d0-4b8a-8cbb-d5863509ed86,Project Template 7.0.wsp,https://intranet.poc.com/,https://intranet.poc.com/sites/ertest
Portal_Content_02,0x,https://intranet.poc.com/sites/ertest,sites/ertest/_catalogs/solutions,751fc39e-d3c5-4b61-aa6a-0e584984b1ec,Project Template 8.0.wsp,https://intranet.poc.com/,https://intranet.poc.com/sites/ertest
Portal_Content_02,0x,https://intranet.poc.com/sites/ertest,sites/ertest/_catalogs/solutions,655f83d2-7102-40c5-a364-91e5775d3675,Project Template 9.0.wsp,https://intranet.poc.com/,https://intranet.poc.com/sites/ertest
Portal_Content_02,0x,https://intranet.poc.com/sites/ertest,sites/ertest/_catalogs/solutions,99663235-f772-41d7-998e-2458a260561d,SOC.SmallJob.wsp,https://intranet.poc.com/,https://intranet.poc.com/sites/ertest
Portal_Content_02,0x,https://intranet.poc.com/sites/ertest,sites/ertest/_catalogs/solutions,26733862-ae83-476c-8478-d8bdbc5db08c,Template 12.1.wsp,https://intranet.poc.com/,https://intranet.poc.com/sites/ertest
Portal_Content_02,0x,https://intranet.poc.com/sites/HariCust1,sites/HariCust1/_catalogs/solutions,693794ab-3107-4773-b65d-8c63eb294ffc,contract1.wsp,https://intranet.poc.com/,https://intranet.poc.com/sites/HariCust1
Portal_Content_02,0x,https://intranet.poc.com/sites/RashBlog,sites/RashBlog/_catalogs/solutions,bda75061-3645-4843-be70-a62f6c8d5345,st_RashBlog.wsp,https://intranet.poc.com/,https://intranet.poc.com/sites/RashBlog
Portal_Content_02,0x,https://intranet.poc.com/sites/RashBlog,sites/RashBlog/_catalogs/solutions,321f7ee6-0534-43fd-910f-447937b9e564,st_RashBlog2.wsp,https://intranet.poc.com/,https://intranet.poc.com/sites/RashBlog
Portal_Content_02,0x,https://intranet.poc.com/sites/PKS-ListSiteTemplate,sites/PKS-ListSiteTemplate/_catalogs/solutions,b67639a9-2956-485c-8116-7c3870044df7,Project Template 6.81.wsp,https://intranet.poc.com/,https://intranet.poc.com/sites/PKS-ListSiteTemplate
Portal_Content_02,0x,https://intranet.poc.com/sites/PKS-ListSiteTemplate,sites/PKS-ListSiteTemplate/_catalogs/solutions,12a1d26e-a63f-4c4c-bbc2-253cc631e35d,SOC.SmallJob.wsp,https://intranet.poc.com/,https://intranet.poc.com/sites/PKS-ListSiteTemplate
Portal_Content_02,0x,https://intranet.poc.com/sites/PKS-ListSiteTemplate,sites/PKS-ListSiteTemplate/_catalogs/solutions,05584420-b70b-42ad-878b-728116a40b5d,Template 12.1.wsp,https://intranet.poc.com/,https://intranet.poc.com/sites/PKS-ListSiteTemplate
