ContentDatabase,SiteCollection,SiteCollectionOwner,SiteTemplateGalleryPath,SiteTemplateID,SiteTemplateName,SolutionName,WebApplication,WebUrl
Portal_Content_01,https://intranet.poc.com/sites/vidhiTest10,N/A,sites/vidhiTest10/_catalogs/solutions,1233ab2a-f005-4cc6-b7db-a63ab2fa4628,vidhiTest10CTSiteTemplate.wsp,N/A,https://intranet.poc.com/,https://intranet.poc.com/sites/vidhiTest10
Portal_Content_01,https://intranet.poc.com/sites/HariCT1,N/A,sites/HariCT1/_catalogs/solutions,1e041a8a-0854-4dcb-9ba2-263188f174a4,st_HariCT1.wsp,N/A,https://intranet.poc.com/,https://intranet.poc.com/sites/HariCT1
Portal_Content_01,https://intranet.poc.com/sites/testSite,N/A,sites/testSite/_catalogs/solutions,ae6b8a3a-9d42-4f07-8ad5-cfe8d1430f0f,CTSiteTemplate.wsp,N/A,https://intranet.poc.com/,https://intranet.poc.com/sites/testSite
Portal_Content_01,https://intranet.poc.com/sites/testSite,N/A,sites/testSite/_catalogs/solutions,f002e7ef-697e-4a5a-aeee-f9365b65d25a,STTestFive.wsp,N/A,https://intranet.poc.com/,https://intranet.poc.com/sites/testSite
Portal_Content_02,https://intranet.poc.com/sites/PriyaTestSC1,N/A,sites/PriyaTestSC1/_catalogs/solutions,2967fed1-477d-4cc1-a9f9-5912e8bbede4,SaveSiteTmplte.wsp,N/A,https://intranet.poc.com/,https://intranet.poc.com/sites/PriyaTestSC1
Portal_Content_02,https://intranet.poc.com/sites/PriyaTestSC1,N/A,sites/PriyaTestSC1/_catalogs/solutions,deb4eba1-0df9-4293-8048-6e305fabd977,SiteTemplteProj.wsp,N/A,https://intranet.poc.com/,https://intranet.poc.com/sites/PriyaTestSC1
Portal_Content_02,https://intranet.poc.com/sites/PriyaTestSiteTemplate,N/A,sites/PriyaTestSiteTemplate/_catalogs/solutions,5713c4fc-26dc-49a1-bb08-806aaea44d84,lt_PriyaTest.wsp,N/A,https://intranet.poc.com/,https://intranet.poc.com/sites/PriyaTestSiteTemplate
Portal_Content_02,https://intranet.poc.com/sites/PriyaTestSiteTemplate,N/A,sites/PriyaTestSiteTemplate/_catalogs/solutions,a656f82e-e154-49a0-9d90-22bcc056cc7f,PriyaTestSiteTmplte.wsp,N/A,https://intranet.poc.com/,https://intranet.poc.com/sites/PriyaTestSiteTemplate
Portal_Content_02,https://intranet.poc.com/sites/PriyaTestSiteTemplate,N/A,sites/PriyaTestSiteTemplate/_catalogs/solutions,87ca16ee-9147-4694-aff7-59b593e304ab,st_PriyaTestSiteTemplate.wsp,N/A,https://intranet.poc.com/,https://intranet.poc.com/sites/PriyaTestSiteTemplate
Portal_Content_02,https://intranet.poc.com/sites/PriyaTestSiteTemplate,N/A,sites/PriyaTestSiteTemplate/_catalogs/solutions,371de68f-bcde-401c-aba6-33053de0d394,st_PriyaTestSiteTemplate2.wsp,N/A,https://intranet.poc.com/,https://intranet.poc.com/sites/PriyaTestSiteTemplate
Portal_Content_02,https://intranet.poc.com/sites/PriyaTestSiteTemplate,N/A,sites/PriyaTestSiteTemplate/_catalogs/solutions,1686a549-41d9-42b9-bf37-b7ae3a7266ad,STOne.wsp,N/A,https://intranet.poc.com/,https://intranet.poc.com/sites/PriyaTestSiteTemplate
