FeatureID,FeatureName,SolutionName,FeatureScope
45cb9840-705f-410d-acd0-fe1e53b60e81,CustomEventReceiverTwo Feature1,customeventreceivertwo.wsp,Site
d60e130f-2cf6-4607-8a75-8c45c2898cc0,CustomFeatureER Feature1,customfeatureer.wsp,Site
a206abd4-473b-4830-bb3e-35df24229267,CustomFER Feature1,customfer.wsp,Site
2135e033-71b2-40d6-a53f-2ce916c7ab67,CustomField Feature1,customfield.wsp,Web
48e86892-0ec3-4710-b061-26c21702ec21,CustomNewField Feature1,customnewfield.wsp,Web
32ccfe5b-e2ff-43e1-a66c-ede7c995250a,CustomSiteColumnandContentType Feature1,customsitecolumnandcontenttype.wsp,Web
4a015108-ce50-463b-bc9e-9b5e99f6b63e,CustomSiteDefinition Feature1,customsitedefinition.wsp,Site
64558355-a970-4e48-8a2c-849417be0dfc,CustomVSItemUpdate Feature1,customvsitemupdate.wsp,Web
57ded087-885b-45aa-becb-5dacf3d16c4d,CustomWFVS Feature2,customwfvs.wsp,Web
3c232783-41d5-4958-807b-cf87f85e1e12,CustomWFVS Feature1,customwfvs.wsp,Web
a6c87a55-d08d-4949-ad63-413e6b7ad1cb,CustomWorkflowDeploy Feature2,customworkflowdeploy.wsp,Web
4fa6e00a-5889-45b3-aee4-4f1fb5cdb7de,CustomWorkflowDeploy Feature1,customworkflowdeploy.wsp,Web
340be594-6eb2-4a80-93f1-f9e70ea2525b,CustomWorkflowProject Feature2,customworkflowproject.wsp,Web
663a7371-a96e-4f54-adb4-b6cb57c2d158,CustomWorkflowProject Feature1,customworkflowproject.wsp,Web
b86418ef-12d2-463d-9c7b-0d5e8578e084,DataSheet Feature1,datasheet.wsp,Site
f1f19a9b-876c-4098-a174-d54e13eb0014,DeployASPX Feature1,deployaspx.wsp,Web
3d059f90-32bb-4b76-8806-199406df9595,DiscPLTest Feature1,discpltest.wsp,Web
0a489b2b-0b0e-4810-93a7-b5bceb810561,DivCustomFieldType2Feature1,divcustomfieldtype2.wsp,Site
c7daf4ff-358b-4679-a55a-d5308144ec29,DivSampleProject Feature1,divsampleproject.wsp,Web
d7c90276-bccd-45f0-bf64-1a33268cda15,DocSetProvisioning Feature1,docsetprovisioning.wsp,Site
77edeaba-6d47-11dc-8314-0800200c9a66,Useful Sharepoint Designer Activities 0.5.0 Alpha,dp.sharepoint.workflow.wsp,WebApplication
6633bed0-6d85-4517-bdae-71c0f556b2e4,ERCT Feature1,erct.wsp,Web
3e7c5f59-0df2-4582-bf5d-06c92745fc5d,ERFeatureTest Feature1,erfeaturetest.wsp,Web
9aef7e5d-98a3-4099-9c2d-32c427ffe79a,ERItemAddedIntoOtherList Feature1,eritemaddedintootherlist.wsp,Web
b4c43ac2-b9b9-460e-8037-be7afd49cb14,EvalPageLayoutFeature,evallabproject.wsp,Web
da620525-6fc2-495c-9350-0fda59e005c2,EvalMasterPage Feature,evalmasterpage.wsp,Site
5cc6648f-1b59-40a3-b683-6d72f3106faf,EventReceivers Content Types,eventreceivers.wsp,Site
9c47a716-9de7-42b7-a6c4-18310575c4c6,EventReceivers - Site Collection Feature,eventreceivers.wsp,Site
da186b10-409b-48dc-a2d4-24262e806125,EventReceivers - List Instance,eventreceivers.wsp,Web
0ab5eb3c-e3cc-423d-854d-10e5401c8226,EventReceivers - Subsite feature,eventreceivers.wsp,Web
86256679-456a-42da-8b89-587adb129afe,EventReceivers - Programmatic Associator,eventreceivers.wsp,Web
2570fd82-25b0-4374-81d0-f3e1770a66ac,FarmSolutionFeature Feature1,farmsolutionfeature.wsp,Web
a8a71fdb-fc09-4003-98ed-c7f39fa0230a,FeatureFTCSBTest Feature1,featureftcsbtest.wsp,Web
05858f38-a897-4e80-92fc-88eedfaf0d8d,FeatureReceiver Feature1,featurereceiver.wsp,Web
7a43d000-1288-4fd7-ba9f-d7936e32d91d,FERCustom Feature1,fercustom.wsp,Web
d0ba6fff-18b8-4fcf-8813-ae448726f676,FilesInRootModule Feature1,filesinrootmodule.wsp,Web
0934955f-d333-5f57-6a62-d7bebdd3ee7a,EmpRegForm,form-empregform.wsp,Site
0bedc105-bc8f-6061-0c3d-a7772c38ac07,EmpRegistrationForm,form-empregistrationf.wsp,Site
f6c04a1c-d0f2-6937-19cc-dd8777cd7f25,RichtextField_AdminApproved_Published,form-richtextfield_ad.wsp,Site
f808f9bd-5181-15c7-c2f3-91553937edce,Incident Reporting,form-template.wsp,Site
8686a0dd-7c3f-2b66-63e1-298d4fce24b7,TrialForm4,form-trialform4.wsp,Site
c7401bb0-bfc1-4a19-b7b1-775480f98d96,FTCContentType Feature1,ftccontenttype.wsp,Web
4e9378ef-5784-498f-9709-2df2e3b7bdb5,FTCCTandSC Feature1,ftcctandsc.wsp,Web
6c5042b1-3e35-4c9f-a379-8e10268803bc,FTCCTSC Feature1,ftcctsc.wsp,Web
e6322a72-797c-4cd3-bb91-987dc9b3ff1e,FTCCustomListER Feature1,ftccustomlister.wsp,Web
ad1e0c96-2b90-4ab8-8acd-98e3075a0c23,FTCDocumentSet Feature1,ftcdocumentset.wsp,Site
