FeatureID,FeatureName,ContentTypeID,ContentTypeName,IsDocumentSetContentType,SolutionName
f0297d6e-0ed1-4c54-8e7f-79f2ac6cff49,Shell.SharePoint.SAEF Shell Content Types,0x0101006f0a470eeb1140e7aa14f4ce8a50b54c0001cb1477f4dd432aa86dd56cc3887af4004de4fb48a13742a2b8a4ceb1b32d9f1a,Shell PowerPoint,False,shell.sharepoint.saef_v2.1.wsp
f0297d6e-0ed1-4c54-8e7f-79f2ac6cff49,Shell.SharePoint.SAEF Shell Content Types,0x0101006f0a470eeb1140e7aa14f4ce8a50b54c00d92579b5e8d44a72a27b68f1f648f263,Shell Excel Base,False,shell.sharepoint.saef_v2.1.wsp
f0297d6e-0ed1-4c54-8e7f-79f2ac6cff49,Shell.SharePoint.SAEF Shell Content Types,0x0101006f0a470eeb1140e7aa14f4ce8a50b54c0001cb1477f4dd432aa86dd56cc3887af400b41b2db1771642308217da4c4c254c7d,Shell Excel,False,shell.sharepoint.saef_v2.1.wsp
f0297d6e-0ed1-4c54-8e7f-79f2ac6cff49,Shell.SharePoint.SAEF Shell Content Types,0x0101006f0a470eeb1140e7aa14f4ce8a50b54c0001cb1477f4dd432aa86dd56cc3887af4008cd1f6cd3f804f62a513c268b318c7a3,Shell Email,False,shell.sharepoint.saef_v2.1.wsp
e0115d32-0b81-4cc2-9c4c-c9ba8cd2d6e3,Shell.SharePoint.SAEF Logger List,0x0100B7331E2EB5D240ED8B565333DB138DF7,SAEF Log Entry,False,shell.sharepoint.saef_v2.1.wsp
8572f3c9-6afc-43a1-9fd4-534b061a7149,Shell.SharePoint.SAEF Provision SAEF Administration site,0x0100368a295151964acfbfdc7c8cccc63f4e,SRP Item,False,shell.sharepoint.saef_v2.1.wsp
8572f3c9-6afc-43a1-9fd4-534b061a7149,Shell.SharePoint.SAEF Provision SAEF Administration site,0x010002b0eedf903e443c9cc0fa07debff7ea,DAR Item,False,shell.sharepoint.saef_v2.1.wsp
8572f3c9-6afc-43a1-9fd4-534b061a7149,Shell.SharePoint.SAEF Provision SAEF Administration site,0x010034D6456DD2064B6090E5074D1298171F,SAEF Notification,False,shell.sharepoint.saef_v2.1.wsp
8572f3c9-6afc-43a1-9fd4-534b061a7149,Shell.SharePoint.SAEF Provision SAEF Administration site,0x010100b3a5e575bf4544c38bd80130aa77c8b3,SAEF Site Attribute Update,False,shell.sharepoint.saef_v2.1.wsp
278f1a8c-65ea-4a57-a4ea-ba1f80e30b66,Shell.SharePoint.SAEF Feature Upgrade Lists,0x0100f397588efe9b413fa9f0c0806728ba00,Shell SAEF Upgrade Your Site Entry,False,shell.sharepoint.saef_v2.1.wsp
278f1a8c-65ea-4a57-a4ea-ba1f80e30b66,Shell.SharePoint.SAEF Feature Upgrade Lists,0x0100499becc02b76412fafa79508be1c83b9,SAEF Feature Upgrade Entry,False,shell.sharepoint.saef_v2.1.wsp
278f1a8c-65ea-4a57-a4ea-ba1f80e30b66,Shell.SharePoint.SAEF Feature Upgrade Lists,0x01000859df93c65746dfa2eed7999d8298b6,SAEF Site Upgrade Entry,False,shell.sharepoint.saef_v2.1.wsp
8f1ed135-7aaa-4466-8082-94311527d2fa,Shell.SharePoint.SAEF Feature Upgrade History List,0x0100c571a0e0862641aaa923ced9f6cbf379,Shell SAEF Upgrade Your Site History Entry,False,shell.sharepoint.saef_v2.1.wsp
c16fefe9-5a9e-4f39-8a6f-cd077b2f1090,Shell.SharePoint.SAEF DAR,0x0100578fdf27ca9e42eab4d53165d8775c26,Workgroup Favorite,False,shell.sharepoint.saef_v2.1.wsp
c16fefe9-5a9e-4f39-8a6f-cd077b2f1090,Shell.SharePoint.SAEF DAR,0x0101006f0a470eeb1140e7aa14f4ce8a50b54c0001cb1477f4dd432aa86dd56cc3887af4002de55e818c8a486f8f427909238f1b3d,Shell Document Record,False,shell.sharepoint.saef_v2.1.wsp
9d7b80b0-112a-4c6c-89e7-39a4ca209a01,SiteColumnContentTypeTesting Feature1,0x01004188D4DBF39A40FB9D2DC1B3E5731E81,CT10,False,sitecolumncontenttypetesting.wsp
6f21ec8f-e80b-4207-a5b1-5d767ae395c3,SiteColumnCTTesting Feature1,0x010051E504994CC04D4B88747CFA9C39FD02,ContentType10,False,sitecolumncttesting.wsp
1d7e283c-6795-4225-9c29-e597bfdea4ad,SPWorld.News Feature1,0x010100C568DB52D9D0A14D9B2FDCC96666E9F2007948130EC3DB064584E219954237AF39007A5224C9C2804A46B028C4F78283A2CB,"$Resources:SPWorld_News,NewsContentType;",False,spworld.news.wsp
