ContentDatabase,DeleteTransactionId,IsCustomized,PageLayout_AssociatedContentType,PageLayout_Name,PageLayout_ServerRelativeUrl,SiteCollection,SiteCollectionOwner,SolutionName,WebApplication,WebUrl
Portal_Content_01,0x,False,Aviva Flexible Article~0x010100C568DB52D9D0A14D9B2FDCC96666E9F2007948130EC3DB064584E219954237AF3900242457EFB8B24247815D688C526CD44D00D83B722D3EE241439E7B87D673A55937,AvivaFlexibleArticle.aspx,/sites/Publishing/_catalogs/masterpage/AvivaFlexibleArticle.aspx,https://intranet.poc.com/sites/Publishing,N/A,aviva.oneintranet.solution.web.wsp,https://intranet.poc.com/,https://intranet.poc.com/sites/Publishing
Portal_Content_01,0x,False,Aviva Flexible Article~0x010100C568DB52D9D0A14D9B2FDCC96666E9F2007948130EC3DB064584E219954237AF3900242457EFB8B24247815D688C526CD44D00D83B722D3EE241439E7B87D673A55937,AvivaFlexibleArticle.aspx,/sites/testv/_catalogs/masterpage/AvivaFlexibleArticle.aspx,https://intranet.poc.com/sites/testv,N/A,aviva.oneintranet.solution.web.wsp,https://intranet.poc.com/,https://intranet.poc.com/sites/testv
Portal_Content_01,0x,False,Aviva Flexible Article~0x010100C568DB52D9D0A14D9B2FDCC96666E9F2007948130EC3DB064584E219954237AF3900242457EFB8B24247815D688C526CD44D00D83B722D3EE241439E7B87D673A55937,AvivaFlexibleArticle.aspx,/sites/TMaster2publishing/_catalogs/masterpage/AvivaFlexibleArticle.aspx,https://intranet.poc.com/sites/TMaster2publishing,N/A,aviva.oneintranet.solution.web.wsp,https://intranet.poc.com/,https://intranet.poc.com/sites/TMaster2publishing
Portal_Content_01,0x,False,N/A,NewsPageLayout.aspx,/sites/DiscoveryTool/_catalogs/masterpage/NewsPageLayout.aspx,https://intranet.poc.com/sites/DiscoveryTool,N/A,spworld.news.wsp,https://intranet.poc.com/,https://intranet.poc.com/sites/DiscoveryTool
Portal_Content_01,0x,False,Article~0x010100C568DB52D9D0A14D9B2FDCC96666E9F2007948130EC3DB064584E219954237AF3900242457EFB8B24247815D688C526CD44D007BB82468AA36D6419BF73D4FFFB0F677,ArticlePageFull.aspx,/sites/Publishing/_catalogs/masterpage/ArticlePageFull.aspx,https://intranet.poc.com/sites/Publishing,N/A,aviva.oneintranet.solution.web.wsp,https://intranet.poc.com/,https://intranet.poc.com/sites/Publishing
Portal_Content_01,0x,False,Article~0x010100C568DB52D9D0A14D9B2FDCC96666E9F2007948130EC3DB064584E219954237AF3900242457EFB8B24247815D688C526CD44D007BB82468AA36D6419BF73D4FFFB0F677,ArticlePageFull.aspx,/sites/testv/_catalogs/masterpage/ArticlePageFull.aspx,https://intranet.poc.com/sites/testv,N/A,aviva.oneintranet.solution.web.wsp,https://intranet.poc.com/,https://intranet.poc.com/sites/testv
Portal_Content_01,0x,False,Article~0x010100C568DB52D9D0A14D9B2FDCC96666E9F2007948130EC3DB064584E219954237AF3900242457EFB8B24247815D688C526CD44D007BB82468AA36D6419BF73D4FFFB0F677,ArticlePageFull.aspx,/sites/TMaster2publishing/_catalogs/masterpage/ArticlePageFull.aspx,https://intranet.poc.com/sites/TMaster2publishing,N/A,aviva.oneintranet.solution.web.wsp,https://intranet.poc.com/,https://intranet.poc.com/sites/TMaster2publishing
Portal_Content_01,0x,False,Article~0x010100C568DB52D9D0A14D9B2FDCC96666E9F2007948130EC3DB064584E219954237AF3900242457EFB8B24247815D688C526CD44D007BB82468AA36D6419BF73D4FFFB0F677,ArticlePageFull.aspx,/sites/VK113055/_catalogs/masterpage/ArticlePageFull.aspx,https://intranet.poc.com/sites/VK113055,N/A,aviva.oneintranet.solution.web.wsp,https://intranet.poc.com/,https://intranet.poc.com/sites/VK113055
Portal_Content_01,0x,False,Article~0x010100C568DB52D9D0A14D9B2FDCC96666E9F2007948130EC3DB064584E219954237AF3900242457EFB8B24247815D688C526CD44D007BB82468AA36D6419BF73D4FFFB0F677,ArticlePageSimple.aspx,/sites/Publishing/_catalogs/masterpage/ArticlePageSimple.aspx,https://intranet.poc.com/sites/Publishing,N/A,aviva.oneintranet.solution.web.wsp,https://intranet.poc.com/,https://intranet.poc.com/sites/Publishing
Portal_Content_01,0x,False,Article~0x010100C568DB52D9D0A14D9B2FDCC96666E9F2007948130EC3DB064584E219954237AF3900242457EFB8B24247815D688C526CD44D007BB82468AA36D6419BF73D4FFFB0F677,ArticlePageSimple.aspx,/sites/testv/_catalogs/masterpage/ArticlePageSimple.aspx,https://intranet.poc.com/sites/testv,N/A,aviva.oneintranet.solution.web.wsp,https://intranet.poc.com/,https://intranet.poc.com/sites/testv
