ContentDatabase,Feature_TimeActivated,Feature_Version,FeatureId,FeatureTitle,Scope,SiteCollection,SiteCollectionOwner,SiteID,SolutionId,SolutionName,WebApplication,WebID,WebUrl
Portal_Content_01,3/20/2015 6:05:04 PM,0.0.0.0,c2f9c992-99b0-4ee7-8e48-5d9949e77d3d,Contoso.Intranet - Web Default,Web,https://intranet.poc.com/sites/SudhaContosoTeamSite,N/A,c6660305-c9a2-4905-9f4b-29771a4d77d6,N/A,contoso.intranet.wsp,https://intranet.poc.com/,1103d066-9285-46ee-82cb-d789bfe8d06b,https://intranet.poc.com/sites/SudhaContosoTeamSite
Portal_Content_01,2/5/2016 1:54:10 AM,0.0.0.0,f0f9a242-5c29-4750-8f7a-c11d00635c33,Anubhav_SiteColumns Feature1,Site,https://intranet.poc.com/sites/Anubhav_4Feb_2016_2,N/A,dc7b01e5-8fc6-4942-9058-30af5d1ae4fd,N/A,anubhav_sitecolumns.wsp,https://intranet.poc.com/,00000000-0000-0000-0000-000000000000,N/A
Portal_Content_01,9/20/2015 4:27:04 AM,0.0.0.0,2135e033-71b2-40d6-a53f-2ce916c7ab67,CustomField Feature1,Web,https://intranet.poc.com/sites/SudhaTeam2,N/A,35190397-b00d-485c-b0ee-35e905b2dfff,N/A,customfield.wsp,https://intranet.poc.com/,95805a11-9803-41b4-b0e7-5a17886d153d,https://intranet.poc.com/sites/SudhaTeam2
Portal_Content_01,4/27/2015 4:52:28 PM,0.0.0.0,86ee9185-85b6-4dbd-960c-5cac92850092,"$Resources:VideoRibbon,videowebpart_featurename;",Site,https://intranet.poc.com/sites/TestSearch,N/A,0f3a4af0-1adf-46af-b572-3f63074a4868,N/A,aviva.oneintranet.solution.web.wsp,https://intranet.poc.com/,00000000-0000-0000-0000-000000000000,N/A
Portal_Content_01,4/27/2015 4:52:28 PM,0.0.0.0,073c4e60-6d38-42a7-83fe-c27a230a3747,Aviva Video Ribbon,Site,https://intranet.poc.com/sites/TestSearch,N/A,0f3a4af0-1adf-46af-b572-3f63074a4868,N/A,aviva.oneintranet.solution.web.wsp,https://intranet.poc.com/,00000000-0000-0000-0000-000000000000,N/A
Portal_Content_01,4/27/2015 4:52:49 PM,1.0.0.0,828a6edd-0ae3-415e-b4dc-c315635fe74d,$Resources:FeatureName,Web,https://intranet.poc.com/sites/TestSearch,N/A,0f3a4af0-1adf-46af-b572-3f63074a4868,N/A,aviva.oneintranet.solution.web.wsp,https://intranet.poc.com/,472345cf-659b-4154-918f-82748544819d,https://intranet.poc.com/sites/TestSearch
Portal_Content_01,4/27/2015 4:52:49 PM,0.0.0.0,ebd86520-ddcb-45cf-bd73-dc8c5b7be022,Aviva Search Site Configuration,Web,https://intranet.poc.com/sites/TestSearch,N/A,0f3a4af0-1adf-46af-b572-3f63074a4868,N/A,aviva.oneintranet.solution.web.wsp,https://intranet.poc.com/,472345cf-659b-4154-918f-82748544819d,https://intranet.poc.com/sites/TestSearch
Portal_Content_01,10/21/2014 12:00:26 AM,0.0.0.0,a3fed161-004e-4a9c-bb07-1966f27f2cab,Contoso.Intranet - Site Default,Site,https://intranet.poc.com/sites/TestListContentType3,N/A,872c5a16-b107-4717-9cec-41356df14271,N/A,contoso.intranet.wsp,https://intranet.poc.com/,00000000-0000-0000-0000-000000000000,N/A
Portal_Content_01,10/20/2014 11:45:51 PM,0.0.0.0,9f372db0-fa25-4c59-bd73-39862db2fcd9,Contoso.ContentType Feature,Site,https://intranet.poc.com/sites/TestListContentType3,N/A,872c5a16-b107-4717-9cec-41356df14271,N/A,contoso.contenttype.wsp,https://intranet.poc.com/,00000000-0000-0000-0000-000000000000,N/A
Portal_Content_01,1/23/2015 7:50:07 PM,0.0.0.0,9f372db0-fa25-4c59-bd73-39862db2fcd9,Contoso.ContentType Feature,Site,https://intranet.poc.com/sites/DiscoveryTool,N/A,450053d0-0187-41d4-ab25-4966783eae71,N/A,contoso.contenttype.wsp,https://intranet.poc.com/,00000000-0000-0000-0000-000000000000,N/A
Portal_Content_01,6/10/2015 8:58:10 AM,0.0.0.0,c2f9c992-99b0-4ee7-8e48-5d9949e77d3d,Contoso.Intranet - Web Default,Web,https://intranet.poc.com/sites/DiscoveryTool,N/A,450053d0-0187-41d4-ab25-4966783eae71,N/A,contoso.intranet.wsp,https://intranet.poc.com/,8eb54ef0-633a-448c-bd30-45658a49d2bb,https://intranet.poc.com/sites/DiscoveryTool
Portal_Content_01,5/10/2016 6:19:47 AM,0.0.0.0,57ded087-885b-45aa-becb-5dacf3d16c4d,CustomWFVS Feature2,Web,https://intranet.poc.com/sites/DiscoveryTool,N/A,450053d0-0187-41d4-ab25-4966783eae71,N/A,customwfvs.wsp,https://intranet.poc.com/,8eb54ef0-633a-448c-bd30-45658a49d2bb,https://intranet.poc.com/sites/DiscoveryTool
Portal_Content_01,9/3/2015 3:59:07 AM,0.0.0.0,48e86892-0ec3-4710-b061-26c21702ec21,CustomNewField Feature1,Web,https://intranet.poc.com/sites/div,N/A,6f5f6ac9-da33-4a34-8f70-4baa14feb452,N/A,customnewfield.wsp,https://intranet.poc.com/,56529f6d-4246-411e-916d-c3fdd52dda95,https://intranet.poc.com/sites/div
Portal_Content_01,9/3/2015 3:59:02 AM,0.0.0.0,2135e033-71b2-40d6-a53f-2ce916c7ab67,CustomField Feature1,Web,https://intranet.poc.com/sites/div,N/A,6f5f6ac9-da33-4a34-8f70-4baa14feb452,N/A,customfield.wsp,https://intranet.poc.com/,56529f6d-4246-411e-916d-c3fdd52dda95,https://intranet.poc.com/sites/div
Portal_Content_01,10/22/2014 9:48:31 PM,0.0.0.0,9f372db0-fa25-4c59-bd73-39862db2fcd9,Contoso.ContentType Feature,Site,https://intranet.poc.com/sites/TestListContentType4,N/A,e6c2a886-f3ca-47a0-9059-5cdab569e788,N/A,contoso.contenttype.wsp,https://intranet.poc.com/,00000000-0000-0000-0000-000000000000,N/A
Portal_Content_01,9/3/2015 11:33:49 AM,0.0.0.0,2135e033-71b2-40d6-a53f-2ce916c7ab67,CustomField Feature1,Web,https://intranet.poc.com/sites/vidhiTest11,N/A,4a22b13d-1943-4d95-9542-5d02f9ec16f3,N/A,customfield.wsp,https://intranet.poc.com/,191cf179-39c4-4608-9a07-42e0eb79aea3,https://intranet.poc.com/sites/vidhiTest11/Sub2
Portal_Content_01,9/3/2015 11:29:23 AM,0.0.0.0,2135e033-71b2-40d6-a53f-2ce916c7ab67,CustomField Feature1,Web,https://intranet.poc.com/sites/vidhiTest11,N/A,4a22b13d-1943-4d95-9542-5d02f9ec16f3,N/A,customfield.wsp,https://intranet.poc.com/,04baa4ad-d9c2-42c1-be6b-dd316ceb86cf,https://intranet.poc.com/sites/vidhiTest11
Portal_Content_01,12/7/2015 10:14:02 PM,0.0.0.0,b86418ef-12d2-463d-9c7b-0d5e8578e084,DataSheet Feature1,Site,https://intranet.poc.com/sites/RajTest1,N/A,84516303-b9c2-48c6-8cdf-5e8c8f1bb0c2,N/A,datasheet.wsp,https://intranet.poc.com/,00000000-0000-0000-0000-000000000000,N/A
Portal_Content_01,5/15/2015 9:58:43 AM,0.0.0.0,86ee9185-85b6-4dbd-960c-5cac92850092,"$Resources:VideoRibbon,videowebpart_featurename;",Site,https://intranet.poc.com/sites/ListFormDemos,N/A,867f71b5-8dde-468a-88db-63ca83016e19,N/A,aviva.oneintranet.solution.web.wsp,https://intranet.poc.com/,00000000-0000-0000-0000-000000000000,N/A
Portal_Content_01,5/15/2015 9:58:43 AM,0.0.0.0,073c4e60-6d38-42a7-83fe-c27a230a3747,Aviva Video Ribbon,Site,https://intranet.poc.com/sites/ListFormDemos,N/A,867f71b5-8dde-468a-88db-63ca83016e19,N/A,aviva.oneintranet.solution.web.wsp,https://intranet.poc.com/,00000000-0000-0000-0000-000000000000,N/A
Portal_Content_01,5/15/2015 9:59:29 AM,1.0.0.0,828a6edd-0ae3-415e-b4dc-c315635fe74d,$Resources:FeatureName,Web,https://intranet.poc.com/sites/ListFormDemos,N/A,867f71b5-8dde-468a-88db-63ca83016e19,N/A,aviva.oneintranet.solution.web.wsp,https://intranet.poc.com/,2e11e1d3-eda2-4b63-9f36-10ed011ddfdc,https://intranet.poc.com/sites/ListFormDemos
Portal_Content_01,9/3/2015 11:07:07 AM,0.0.0.0,2135e033-71b2-40d6-a53f-2ce916c7ab67,CustomField Feature1,Web,https://intranet.poc.com/sites/vidhiTest7,N/A,cbe86ba6-e100-48e6-a11d-6cc141fac805,N/A,customfield.wsp,https://intranet.poc.com/,d275d6c4-61f1-4f5f-a9aa-b3a69190c2a1,https://intranet.poc.com/sites/vidhiTest7
Portal_Content_01,5/14/2015 8:58:54 AM,0.0.0.0,86ee9185-85b6-4dbd-960c-5cac92850092,"$Resources:VideoRibbon,videowebpart_featurename;",Site,https://intranet.poc.com/sites/testv,N/A,fc291494-c3e5-48c3-bf5d-6e958ceb13b7,N/A,aviva.oneintranet.solution.web.wsp,https://intranet.poc.com/,00000000-0000-0000-0000-000000000000,N/A
Portal_Content_01,5/14/2015 8:58:54 AM,0.0.0.0,073c4e60-6d38-42a7-83fe-c27a230a3747,Aviva Video Ribbon,Site,https://intranet.poc.com/sites/testv,N/A,fc291494-c3e5-48c3-bf5d-6e958ceb13b7,N/A,aviva.oneintranet.solution.web.wsp,https://intranet.poc.com/,00000000-0000-0000-0000-000000000000,N/A
Portal_Content_01,5/14/2015 8:58:55 AM,0.0.0.0,4ebf6325-abe7-4097-847e-fc3263f8edc1,"$Resources:VideoRibbon,videoplayer_featurename",Site,https://intranet.poc.com/sites/testv,N/A,fc291494-c3e5-48c3-bf5d-6e958ceb13b7,N/A,aviva.oneintranet.solution.web.wsp,https://intranet.poc.com/,00000000-0000-0000-0000-000000000000,N/A
Portal_Content_01,5/14/2015 8:59:17 AM,1.0.0.0,828a6edd-0ae3-415e-b4dc-c315635fe74d,$Resources:FeatureName,Web,https://intranet.poc.com/sites/testv,N/A,fc291494-c3e5-48c3-bf5d-6e958ceb13b7,N/A,aviva.oneintranet.solution.web.wsp,https://intranet.poc.com/,a58a15e0-484f-476d-8db0-c71e999f077e,https://intranet.poc.com/sites/testv
Portal_Content_01,5/14/2015 8:48:57 AM,0.0.0.0,86ee9185-85b6-4dbd-960c-5cac92850092,"$Resources:VideoRibbon,videowebpart_featurename;",Site,https://intranet.poc.com/sites/dev2,N/A,76ccfbb8-4466-4bad-8d0a-7407421359e8,N/A,aviva.oneintranet.solution.web.wsp,https://intranet.poc.com/,00000000-0000-0000-0000-000000000000,N/A
Portal_Content_01,5/14/2015 8:48:57 AM,0.0.0.0,073c4e60-6d38-42a7-83fe-c27a230a3747,Aviva Video Ribbon,Site,https://intranet.poc.com/sites/dev2,N/A,76ccfbb8-4466-4bad-8d0a-7407421359e8,N/A,aviva.oneintranet.solution.web.wsp,https://intranet.poc.com/,00000000-0000-0000-0000-000000000000,N/A
Portal_Content_01,5/14/2015 8:49:16 AM,1.0.0.0,828a6edd-0ae3-415e-b4dc-c315635fe74d,$Resources:FeatureName,Web,https://intranet.poc.com/sites/dev2,N/A,76ccfbb8-4466-4bad-8d0a-7407421359e8,N/A,aviva.oneintranet.solution.web.wsp,https://intranet.poc.com/,1177cd75-96a4-4c63-8168-51aabba3a5b9,https://intranet.poc.com/sites/dev2
Portal_Content_01,10/8/2015 8:15:10 AM,0.0.0.0,86ee9185-85b6-4dbd-960c-5cac92850092,"$Resources:VideoRibbon,videowebpart_featurename;",Site,https://intranet.poc.com/sites/TMaster2publishing,N/A,27c6893b-34a2-4001-83b0-8b44d61e7fd7,N/A,aviva.oneintranet.solution.web.wsp,https://intranet.poc.com/,00000000-0000-0000-0000-000000000000,N/A
Portal_Content_01,10/8/2015 8:15:10 AM,0.0.0.0,073c4e60-6d38-42a7-83fe-c27a230a3747,Aviva Video Ribbon,Site,https://intranet.poc.com/sites/TMaster2publishing,N/A,27c6893b-34a2-4001-83b0-8b44d61e7fd7,N/A,aviva.oneintranet.solution.web.wsp,https://intranet.poc.com/,00000000-0000-0000-0000-000000000000,N/A
Portal_Content_01,10/8/2015 8:15:11 AM,0.0.0.0,4ebf6325-abe7-4097-847e-fc3263f8edc1,"$Resources:VideoRibbon,videoplayer_featurename",Site,https://intranet.poc.com/sites/TMaster2publishing,N/A,27c6893b-34a2-4001-83b0-8b44d61e7fd7,N/A,aviva.oneintranet.solution.web.wsp,https://intranet.poc.com/,00000000-0000-0000-0000-000000000000,N/A
Portal_Content_01,10/8/2015 8:15:35 AM,1.0.0.0,828a6edd-0ae3-415e-b4dc-c315635fe74d,$Resources:FeatureName,Web,https://intranet.poc.com/sites/TMaster2publishing,N/A,27c6893b-34a2-4001-83b0-8b44d61e7fd7,N/A,aviva.oneintranet.solution.web.wsp,https://intranet.poc.com/,f1f28f7d-03ae-49e8-ba8d-507811556ba6,https://intranet.poc.com/sites/TMaster2publishing
Portal_Content_01,10/8/2015 8:15:28 AM,1.0.0.0,d06ecf20-81b5-4964-a182-f2b2dcd14573,$Resources:FeatureName,Web,https://intranet.poc.com/sites/TMaster2publishing,N/A,27c6893b-34a2-4001-83b0-8b44d61e7fd7,N/A,aviva.oneintranet.solution.web.wsp,https://intranet.poc.com/,f1f28f7d-03ae-49e8-ba8d-507811556ba6,https://intranet.poc.com/sites/TMaster2publishing
Portal_Content_01,5/5/2015 3:44:46 PM,0.0.0.0,ac1d0639-b16c-46d8-beb9-e1c3645af5ae,Contoso.EventReceiver,Web,https://intranet.poc.com/sites/testPublishing,N/A,48455566-be47-48ad-8afb-8eef642e3687,N/A,contoso.contenttype.wsp,https://intranet.poc.com/,655bca76-7560-4fd5-8db1-2cfb3b91bca2,https://intranet.poc.com/sites/testPublishing
Portal_Content_01,6/9/2015 7:11:04 AM,0.0.0.0,a3fed161-004e-4a9c-bb07-1966f27f2cab,Contoso.Intranet - Site Default,Site,https://intranet.poc.com/sites/TestContosoTeamSite,N/A,353bfc3f-7fab-4eb8-b31b-92feed4c433d,N/A,contoso.intranet.wsp,https://intranet.poc.com/,00000000-0000-0000-0000-000000000000,N/A
Portal_Content_01,10/25/2014 12:42:57 AM,0.0.0.0,9f372db0-fa25-4c59-bd73-39862db2fcd9,Contoso.ContentType Feature,Site,https://intranet.poc.com/sites/TestContosoTeamSite,N/A,353bfc3f-7fab-4eb8-b31b-92feed4c433d,N/A,contoso.contenttype.wsp,https://intranet.poc.com/,00000000-0000-0000-0000-000000000000,N/A
Portal_Content_01,6/9/2015 7:07:27 AM,0.0.0.0,7e2ab32f-6903-44b9-affc-8f31360bfbbb,Contoso.Intranet - Site Default Publishing,Site,https://intranet.poc.com/sites/TestContosoTeamSite,N/A,353bfc3f-7fab-4eb8-b31b-92feed4c433d,N/A,contoso.intranet.wsp,https://intranet.poc.com/,00000000-0000-0000-0000-000000000000,N/A
Portal_Content_01,6/9/2015 1:49:34 PM,1.0.0.0,828a6edd-0ae3-415e-b4dc-c315635fe74d,$Resources:FeatureName,Web,https://intranet.poc.com/sites/TestContosoTeamSite,N/A,353bfc3f-7fab-4eb8-b31b-92feed4c433d,N/A,aviva.oneintranet.solution.web.wsp,https://intranet.poc.com/,64ed2646-af6a-475e-93a0-0517915f7487,https://intranet.poc.com/sites/TestContosoTeamSite/TeamC1
Portal_Content_01,10/7/2014 6:23:27 PM,0.0.0.0,c2f9c992-99b0-4ee7-8e48-5d9949e77d3d,Contoso.Intranet - Web Default,Web,https://intranet.poc.com/sites/TestContosoTeamSite,N/A,353bfc3f-7fab-4eb8-b31b-92feed4c433d,N/A,contoso.intranet.wsp,https://intranet.poc.com/,bfa8bd63-26e5-4adf-866b-24013c6e903d,https://intranet.poc.com/sites/TestContosoTeamSite/TestChildContosoTeamSite
Portal_Content_01,5/8/2015 8:41:25 AM,1.0.0.0,828a6edd-0ae3-415e-b4dc-c315635fe74d,$Resources:FeatureName,Web,https://intranet.poc.com/sites/TestContosoTeamSite,N/A,353bfc3f-7fab-4eb8-b31b-92feed4c433d,N/A,aviva.oneintranet.solution.web.wsp,https://intranet.poc.com/,3e370d73-5bac-49b6-9d9d-996ddce99cbe,https://intranet.poc.com/sites/TestContosoTeamSite/ChildSite
Portal_Content_01,4/18/2015 11:05:40 AM,1.0.0.0,828a6edd-0ae3-415e-b4dc-c315635fe74d,$Resources:FeatureName,Web,https://intranet.poc.com/sites/TestContosoTeamSite,N/A,353bfc3f-7fab-4eb8-b31b-92feed4c433d,N/A,aviva.oneintranet.solution.web.wsp,https://intranet.poc.com/,710e5eb7-17b2-4f70-a97e-b6e292480d65,https://intranet.poc.com/sites/TestContosoTeamSite/WebPart-AppPart
Portal_Content_01,9/3/2015 11:26:22 AM,0.0.0.0,2135e033-71b2-40d6-a53f-2ce916c7ab67,CustomField Feature1,Web,https://intranet.poc.com/sites/vidhiTest10,N/A,8099c46f-8603-4957-ae6a-93bd9182f864,N/A,customfield.wsp,https://intranet.poc.com/,45fc732d-0602-4932-95bb-6f6af83c2bef,https://intranet.poc.com/sites/vidhiTest10
Portal_Content_01,5/28/2015 5:24:46 AM,0.0.0.0,86ee9185-85b6-4dbd-960c-5cac92850092,"$Resources:VideoRibbon,videowebpart_featurename;",Site,https://intranet.poc.com/sites/ListTask,N/A,10ae7f32-43f1-4f5c-addc-98a726db2186,N/A,aviva.oneintranet.solution.web.wsp,https://intranet.poc.com/,00000000-0000-0000-0000-000000000000,N/A
